"","station","longitude","latitude","receiver_group"
"1","Morehead City, NC",-76.24168,34.52815,"UNCST"
"2","WB",-76.6924,34.58033,"CMAST"
"3","ATLAS",-76.2418,34.52827,"RSTSNCA"
"4","AR-285",-76.43649,34.55899,"CMAST"
"5","RB4",-76.67599,34.64351,"CMAST"
"6","BRITISH SPLENDOUR",-75.90268,34.81892,"RSTSNCA"
"7","CARIBSEA",-76.31438,34.60573,"RSTSNCA"
"8","AR-255",-75.96517,34.92472,"CMAST"
"9","AR-250",-75.91433,34.94833,"CMAST"
"10","CLSAR9",-76.56805,34.48011,"ACT.SOFLONC"
"11","WE HUTTON AKA PAPOOSE",-76.65277,34.14287,"RSTSNCA"
"12","KESHENA",-75.76215,34.99365,"RSTSNCA"
"13","CLSAR20",-76.52988,34.37628,"ACT.SOFLONC"
"14","CLSAR19",-76.533,34.38498,"ACT.SOFLONC"
"15","CLSAR17",-76.53993,34.40237,"ACT.SOFLONC"
"16","HATON",-75.75414,35.16319,"CMAST"
"17","PORTLAND",-76.42977,34.49178,"RSTSNCA"
"18","DE BAY GATE 002",-75.08854,38.82616,"ACT.DEARRAY"
"19","DE BAY GATE 012",-75.01979,38.92144,"ACT.DEARRAY"
"20","DE BAY GATE 010",-75.03597,38.90364,"ACT.DEARRAY"
"21","DE BAY GATE 013",-75.00625,38.924,"ACT.DEARRAY"
"22","DE BAY GATE 014",-74.99258,38.92542,"ACT.DEARRAY"
"23","DE BAY GATE 008",-75.04175,38.88093,"ACT.DEARRAY"
"24","DE BAY GATE 006",-75.05293,38.85943,"ACT.DEARRAY"
"25","DE BAY GATE 015",-74.98018,38.93054,"ACT.DEARRAY"
"26","CHS N2",-79.58897,32.76843,"SCARE"
"27","4KI",-80.00298,32.48498,"SCARE"
"28","CHS GREEN 15",-79.79347,32.71293,"SCARE"
"29","CHS GREEN 13",-79.76569,32.69959,"SCARE"
"30","CHS GREEN 11",-79.74155,32.68817,"SCARE"
"31","MR-01-10",-79.71944,32.69308,"SCARE"
"32","MR-01-07",-79.7165,32.69407,"SCARE"
"33","WINYAH BAY LB 5",-79.13386,33.19193,"SCARE"
