collectioncode,catalognumber,scientificname,commonname,detectedby,station,receiver,receiver_depth,tagname,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,3.805555556
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,3.831111111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,3.911944444
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,3.956388889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,3.993888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.017777778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.047222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.162777778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.198888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.219722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.243333333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.2725
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.3125
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.450277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.478888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.517777778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.544444444
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.579722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.735
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.815833333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.860277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.897777778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.922222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,4.9525
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.029722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.080277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.130277778
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.178611111
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.224444444
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.264722222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.293888889
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.334166667
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.363333333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.403333333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.4325
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.472222222
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.540833333
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.569166667
UNCST,UNCST-17762-2018-08-10,Carcharias taurus,sand tiger shark,RSTSNCA,WE HUTTON AKA PAPOOSE,483725,35.75757576,A69-9001-17762,UTC,-76.6524,34.1437,0101000020E610000044FAEDEBC02953C0B537F8C264124140,2023,1,2,2,5.608055556
