"","tagname","longitude","latitude","datecollected","yearcollected","monthcollected","daycollected","julianday","timeofday","receiver_group"
"1","A69-9001-17764",-76.24168,34.52815,"2018-08-29 00:00:00",2018,8,29,241,0,"UNCST"
"2","A69-9001-17764",-75.76215,34.99365,"2022-01-06 05:00:13",2022,1,6,6,5.00361111111111,"RSTSNCA"
"3","A69-9001-17764",-75.76215,34.99365,"2022-01-06 05:05:19",2022,1,6,6,5.08861111111111,"RSTSNCA"
"4","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:03:50",2022,5,18,138,19.0638888888889,"ACT.VAHMSSHARK"
"5","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:05:59",2022,5,18,138,19.0997222222222,"ACT.VAHMSSHARK"
"6","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:07:15",2022,5,18,138,19.1208333333333,"ACT.VAHMSSHARK"
"7","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:08:41",2022,5,18,138,19.1447222222222,"ACT.VAHMSSHARK"
"8","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:10:27",2022,5,18,138,19.1741666666667,"ACT.VAHMSSHARK"
"9","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:14:47",2022,5,18,138,19.2463888888889,"ACT.VAHMSSHARK"
"10","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:17:24",2022,5,18,138,19.29,"ACT.VAHMSSHARK"
"11","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:20:47",2022,5,18,138,19.3463888888889,"ACT.VAHMSSHARK"
"12","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:22:09",2022,5,18,138,19.3691666666667,"ACT.VAHMSSHARK"
"13","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:25:59",2022,5,18,138,19.4330555555556,"ACT.VAHMSSHARK"
"14","A69-9001-17764",-75.88336,36.76749,"2022-05-18 19:28:51",2022,5,18,138,19.4808333333333,"ACT.VAHMSSHARK"
"15","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:33:46",2022,5,18,138,19.5627777777778,"ACT.VAHMSSHARK"
"16","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:36:32",2022,5,18,138,19.6088888888889,"ACT.VAHMSSHARK"
"17","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:39:00",2022,5,18,138,19.65,"ACT.VAHMSSHARK"
"18","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:40:50",2022,5,18,138,19.6805555555556,"ACT.VAHMSSHARK"
"19","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:45:33",2022,5,18,138,19.7591666666667,"ACT.VAHMSSHARK"
"20","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:46:41",2022,5,18,138,19.7780555555556,"ACT.VAHMSSHARK"
"21","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:47:54",2022,5,18,138,19.7983333333333,"ACT.VAHMSSHARK"
"22","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:49:14",2022,5,18,138,19.8205555555556,"ACT.VAHMSSHARK"
"23","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:50:49",2022,5,18,138,19.8469444444444,"ACT.VAHMSSHARK"
"24","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:52:53",2022,5,18,138,19.8813888888889,"ACT.VAHMSSHARK"
"25","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:55:57",2022,5,18,138,19.9325,"ACT.VAHMSSHARK"
"26","A69-9001-17764",-75.86713,36.7736,"2022-05-18 19:58:59",2022,5,18,138,19.9830555555556,"ACT.VAHMSSHARK"
"27","A69-9001-17764",-75.86713,36.7736,"2022-05-18 20:01:59",2022,5,18,138,20.0330555555556,"ACT.VAHMSSHARK"
"28","A69-9001-17764",-75.86713,36.7736,"2022-05-18 20:10:08",2022,5,18,138,20.1688888888889,"ACT.VAHMSSHARK"
